start,start_time,end,end_time
Travemunde,2023-03-15 05:12:54,Rostock,2023-03-15 11:43:56
Rostock,2023-03-15 12:59:12,Trelleborg,2023-03-15 18:09:52
Trelleborg,2023-03-15 21:20:31,Travemunde,2023-03-16 05:47:01
Travemunde,2023-03-16 08:32:23,Rostock,2023-03-16 11:52:56
Rostock,2023-03-16 12:48:01,Trelleborg,2023-03-16 18:03:48
Trelleborg,2023-03-16 21:14:24,Swinoujscie,2023-03-17 02:48:58
Swinoujscie,2023-03-17 04:27:22,Trelleborg,2023-03-17 11:43:58
Trelleborg,2023-03-17 16:34:23,Swinoujscie,2023-03-17 23:08:26
Swinoujscie,2023-03-18 01:03:26,Trelleborg,2023-03-18 07:42:22
Trelleborg,2023-03-18 10:12:55,Travemunde,2023-03-18 18:59:25
Travemunde,2023-03-19 00:00:17,Trelleborg,2023-03-19 08:16:40
Trelleborg,2023-03-19 14:12:37,Swinoujscie,2023-03-19 22:07:04
Swinoujscie,2023-03-20 00:41:58,Trelleborg,2023-03-20 05:55:17
Trelleborg,2023-03-20 07:00:34,Swinoujscie,2023-03-20 12:41:42
Swinoujscie,2023-03-20 15:01:53,Trelleborg,2023-03-20 21:13:05
Trelleborg,2023-03-20 22:53:28,Travemunde,2023-03-21 06:14:47
Travemunde,2023-03-21 08:35:06,Rostock,2023-03-21 11:55:41
Rostock,2023-03-21 13:05:55,Trelleborg,2023-03-21 18:21:44
Trelleborg,2023-03-21 21:07:11,Travemunde,2023-03-22 06:03:37
Travemunde,2023-03-22 08:34:06,Rostock,2023-03-22 11:54:31
Rostock,2023-03-22 12:59:42,Trelleborg,2023-03-22 18:30:32
Trelleborg,2023-03-22 21:01:02,Travemunde,2023-03-23 05:52:29
Travemunde,2023-03-23 08:38:11,Rostock,2023-03-23 11:48:45
Rostock,2023-03-23 12:54:02,Trelleborg,2023-03-23 18:20:33
Trelleborg,2023-03-23 21:11:11,Swinoujscie,2023-03-24 23:05:41
Swinoujscie,2023-03-25 00:59:28,Trelleborg,2023-03-25 07:27:19
Trelleborg,2023-03-25 09:57:47,Travemunde,2023-03-25 19:09:19
Travemunde,2023-03-25 23:55:15,Trelleborg,2023-03-26 07:11:24
Trelleborg,2023-03-26 13:02:24,Swinoujscie,2023-03-26 21:06:35
Swinoujscie,2023-03-26 23:24:17,Trelleborg,2023-03-27 04:35:04
Trelleborg,2023-03-27 05:50:18,Swinoujscie,2023-03-27 11:44:53
Swinoujscie,2023-03-27 14:05:52,Trelleborg,2023-03-27 19:57:31
