Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
104893,2023-05-28 14:20:03,210510000,54.15348,12.102,354.2,5.8,352,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104898,2023-05-28 14:25:03,210510000,54.16342,12.103,343.7,7.4,338,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104904,2023-05-28 14:30:04,210510000,54.17365,12.09696,341.9,7.7,342,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104908,2023-05-28 14:35:03,210510000,54.18406,12.09131,342.3,9.6,341,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104913,2023-05-28 14:40:04,210510000,54.20194,12.07795,329.7,16.2,330,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104919,2023-05-28 14:45:08,210510000,54.21116,12.04468,269.4,17.7,270,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104924,2023-05-28 14:50:09,210510000,54.21072,12.00194,268.8,18.1,270,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104926,2023-05-28 14:55:03,210510000,54.20973,11.95895,266.8,18.7,268,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104934,2023-05-28 15:00:10,210510000,54.20838,11.91485,266.8,17.8,268,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.8,DETRV,05-28 18:15,1
104935,2023-05-28 15:05:09,210510000,54.20706,11.87435,266.8,16.0,268,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104942,2023-05-28 15:10:13,210510000,54.2059,11.83591,266.9,16.6,267,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104948,2023-05-28 15:15:14,210510000,54.20502,11.79567,268.9,16.8,270,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104954,2023-05-28 15:20:15,210510000,54.20477,11.75574,269.2,16.8,270,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104958,2023-05-28 15:25:15,210510000,54.20443,11.71599,269.0,16.7,270,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104963,2023-05-28 15:30:15,210510000,54.20413,11.67632,269.2,16.9,270,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104966,2023-05-28 15:35:15,210510000,54.20384,11.63643,269.1,16.8,270,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104971,2023-05-28 15:40:14,210510000,54.20081,11.59738,258.5,16.8,259,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104976,2023-05-28 15:45:20,210510000,54.19364,11.55911,244.4,16.8,246,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
104982,2023-05-28 15:50:20,210510000,54.1842,11.52255,246.6,16.8,247,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,5.7,DETRV,05-28 18:15,1
