Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
768,2023-03-15 12:59:12,210510000,54.15543,12.10207,3.2,5.9,1,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
776,2023-03-15 13:04:12,210510000,54.16407,12.10248,345.4,6.0,338,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
780,2023-03-15 13:09:12,210510000,54.17313,12.09734,341.8,7.1,337,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
783,2023-03-15 13:14:12,210510000,54.18235,12.09209,343.1,7.0,339,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
790,2023-03-15 13:19:14,210510000,54.19532,12.08475,341.0,15.0,339,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
793,2023-03-15 13:24:14,210510000,54.21808,12.08196,3.2,16.3,2,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
799,2023-03-15 13:29:13,210510000,54.24061,12.08452,3.6,16.4,2,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
806,2023-03-15 13:34:14,210510000,54.26373,12.08773,9.5,16.7,8,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
810,2023-03-15 13:39:14,210510000,54.28707,12.09855,17.4,18.4,17,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
814,2023-03-15 13:44:08,210510000,54.31116,12.11192,18.8,18.8,17,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
821,2023-03-15 13:49:20,210510000,54.33676,12.12653,18.4,18.8,16,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
826,2023-03-15 13:54:20,210510000,54.36182,12.1408,19.4,19.1,17,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
831,2023-03-15 13:59:20,210510000,54.38699,12.15605,19.4,19.2,17,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
836,2023-03-15 14:04:20,210510000,54.41031,12.17783,34.3,19.5,33,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
840,2023-03-15 14:09:20,210510000,54.43288,12.20431,34.7,19.6,32,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
844,2023-03-15 14:14:20,210510000,54.45496,12.2299,32.2,19.3,28,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
848,2023-03-15 14:19:14,210510000,54.47781,12.24999,24.6,18.7,21,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
855,2023-03-15 14:24:20,210510000,54.50207,12.26728,21.5,18.5,19,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
858,2023-03-15 14:29:08,210510000,54.52504,12.28203,18.7,18.0,16,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
864,2023-03-15 14:34:02,210510000,54.5485,12.29479,16.5,18.2,15,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,SETRG,03-15 19:15,1
