Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
307,2023-03-15 05:12:54,210510000,53.96932,10.90094,216.2,7.5,216,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
313,2023-03-15 05:17:54,210510000,53.96222,10.89128,229.1,6.2,231,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
317,2023-03-15 05:22:53,210510000,53.95872,10.87866,249.9,6.1,250,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
323,2023-03-15 05:27:53,210510000,53.9545,10.86732,232.5,5.0,233,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
328,2023-03-15 05:33:04,210510000,53.95074,10.8605,263.0,1.7,241,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
335,2023-03-15 05:38:04,210510000,53.95106,10.86101,148.1,2.1,347,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
340,2023-03-15 05:43:04,210510000,53.94584,10.86149,170.0,5.2,345,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
344,2023-03-15 05:48:04,210510000,53.94042,10.86374,203.0,1.8,28,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
349,2023-03-15 05:53:03,210510000,53.93991,10.86266,242.4,0.2,31,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
353,2023-03-15 05:58:03,210510000,53.9398,10.86256,210.0,0.0,31,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
357,2023-03-15 06:01:53,210510000,53.9398,10.86256,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
363,2023-03-15 06:07:13,210510000,53.93979,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
370,2023-03-15 06:13:12,210510000,53.93981,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
373,2023-03-15 06:16:13,210510000,53.93982,10.86259,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
378,2023-03-15 06:22:14,210510000,53.9398,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
382,2023-03-15 06:25:14,210510000,53.93979,10.86259,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
388,2023-03-15 06:31:13,210510000,53.9398,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
393,2023-03-15 06:37:12,210510000,53.9398,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
400,2023-03-15 06:43:15,210510000,53.93981,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
403,2023-03-15 06:46:14,210510000,53.9398,10.86259,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
408,2023-03-15 06:52:16,210510000,53.9398,10.8626,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
413,2023-03-15 06:58:09,210510000,53.93981,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
418,2023-03-15 07:01:15,210510000,53.9398,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
423,2023-03-15 07:07:14,210510000,53.93981,10.8626,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
428,2023-03-15 07:13:15,210510000,53.9398,10.8626,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
432,2023-03-15 07:16:15,210510000,53.93981,10.86261,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
438,2023-03-15 07:22:16,210510000,53.9398,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
443,2023-03-15 07:28:15,210510000,53.93981,10.86259,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
448,2023-03-15 07:31:13,210510000,53.9398,10.86259,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
454,2023-03-15 07:37:11,210510000,53.9398,10.8626,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
459,2023-03-15 07:43:13,210510000,53.93981,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
463,2023-03-15 07:46:14,210510000,53.93981,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
469,2023-03-15 07:52:14,210510000,53.93982,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
474,2023-03-15 07:58:15,210510000,53.9398,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
477,2023-03-15 08:01:14,210510000,53.9398,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
484,2023-03-15 08:07:16,210510000,53.93982,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
488,2023-03-15 08:13:17,210510000,53.93981,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
492,2023-03-15 08:16:16,210510000,53.93982,10.86258,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
498,2023-03-15 08:22:16,210510000,53.93982,10.86256,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.7,DETRV,03-15 06:00,1
502,2023-03-15 08:28:14,210510000,53.9398,10.86257,210.0,0.0,31,5,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
508,2023-03-15 08:33:24,210510000,53.93989,10.86271,49.9,0.7,29,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
515,2023-03-15 08:38:24,210510000,53.94538,10.86189,344.0,6.3,342,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
521,2023-03-15 08:43:34,210510000,53.95345,10.86603,45.5,6.3,48,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
526,2023-03-15 08:48:34,210510000,53.9586,10.87874,68.8,6.3,71,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
529,2023-03-15 08:53:32,210510000,53.96276,10.89261,47.2,8.6,46,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
534,2023-03-15 08:58:35,210510000,53.97836,10.91304,43.4,17.3,46,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
540,2023-03-15 09:03:36,210510000,53.99023,10.93767,51.4,13.1,51,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.4,DERSK,03-15 13:15,1
544,2023-03-15 09:08:37,210510000,54.00594,10.97542,56.5,22.1,57,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
550,2023-03-15 09:13:37,210510000,54.02334,11.01967,56.4,22.5,57,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
555,2023-03-15 09:18:37,210510000,54.04081,11.06472,58.3,23.0,58,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
559,2023-03-15 09:23:37,210510000,54.05765,11.11094,58.6,22.8,58,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
565,2023-03-15 09:28:37,210510000,54.07407,11.15711,59.4,22.6,60,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
568,2023-03-15 09:33:37,210510000,54.09031,11.20323,59.5,22.9,60,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
573,2023-03-15 09:38:41,210510000,54.10696,11.2509,59.4,22.8,59,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
579,2023-03-15 09:43:42,210510000,54.12277,11.29667,59.9,21.6,60,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
583,2023-03-15 09:48:41,210510000,54.13698,11.34328,64.9,22.5,64,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
587,2023-03-15 09:53:41,210510000,54.15053,11.39195,64.9,22.6,65,0,9880946,PETER PAN,5BBY6,60,50,179,24,7,6.0,DERSK,03-15 13:15,1
