Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
71911,2023-05-05 04:43:09,230629000,59.31702,18.09488,34.9,0.1,111,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71917,2023-05-05 04:48:10,230629000,59.31702,18.09487,130.3,0.1,111,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71922,2023-05-05 04:53:10,230629000,59.31702,18.09488,128.9,0.1,111,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71928,2023-05-05 04:58:11,230629000,59.31702,18.09487,359.4,0.1,111,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71932,2023-05-05 05:03:10,230629000,59.31702,18.09487,348.6,0.1,111,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71940,2023-05-05 05:08:19,230629000,59.31702,18.09488,280.7,0.1,111,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71944,2023-05-05 05:13:20,230629000,59.31702,18.09488,94.5,0.1,111,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71949,2023-05-05 05:18:21,230629000,59.31703,18.09487,36.1,0.1,112,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71955,2023-05-05 05:23:21,230629000,59.31702,18.09488,22.7,0.1,112,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71958,2023-05-05 05:28:19,230629000,59.31702,18.09488,197.3,0.0,112,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71963,2023-05-05 05:33:21,230629000,59.31703,18.09488,85.1,0.0,113,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71967,2023-05-05 05:38:09,230629000,59.31703,18.09488,322.5,0.2,113,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71972,2023-05-05 05:43:10,230629000,59.31748,18.10273,89.1,6.8,91,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71977,2023-05-05 05:48:21,230629000,59.31868,18.12472,77.4,8.3,79,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71982,2023-05-05 05:53:20,230629000,59.31928,18.14657,92.7,8.0,96,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71987,2023-05-05 05:58:19,230629000,59.32372,18.16907,66.5,10.1,69,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71994,2023-05-05 06:03:26,230629000,59.3336,18.20075,51.1,15.6,53,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
71997,2023-05-05 06:07:38,230629000,59.34538,18.2285,47.0,15.7,47,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72002,2023-05-05 06:13:02,230629000,59.3603,18.26345,67.7,15.2,70,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72007,2023-05-05 06:18:26,230629000,59.3679,18.30693,75.4,15.6,76,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72012,2023-05-05 06:23:26,230629000,59.36625,18.34238,100.6,11.8,101,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72017,2023-05-05 06:28:25,230629000,59.36372,18.36847,95.9,8.6,97,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72022,2023-05-05 06:33:26,230629000,59.36295,18.39177,98.9,8.7,99,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72028,2023-05-05 06:38:26,230629000,59.35992,18.41385,113.4,8.3,113,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72034,2023-05-05 06:43:34,230629000,59.3571,18.44485,46.7,13.9,43,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72039,2023-05-05 06:48:29,230629000,59.3767,18.44865,357.1,15.7,356,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72045,2023-05-05 06:53:36,230629000,59.39372,18.44585,346.1,9.7,345,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72046,2023-05-05 06:57:32,230629000,59.40198,18.43427,317.8,9.8,318,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72053,2023-05-05 07:03:18,230629000,59.41947,18.4044,318.3,16.9,319,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72059,2023-05-05 07:08:38,230629000,59.43977,18.39425,50.4,15.4,54,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72061,2023-05-05 07:13:36,230629000,59.45173,18.42878,22.9,16.6,22,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72067,2023-05-05 07:18:36,230629000,59.47408,18.44052,25.6,16.6,27,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72074,2023-05-05 07:23:41,230629000,59.49057,18.45715,32.5,10.5,34,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72078,2023-05-05 07:28:35,230629000,59.50188,18.47178,41.5,9.7,44,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72082,2023-05-05 07:33:15,230629000,59.50983,18.49097,55.5,10.0,57,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72088,2023-05-05 07:38:36,230629000,59.51723,18.5161,51.3,10.1,51,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72091,2023-05-05 07:43:37,230629000,59.52705,18.53563,45.0,9.9,46,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72098,2023-05-05 07:48:37,230629000,59.53505,18.557,63.6,9.8,65,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72105,2023-05-05 07:53:45,230629000,59.5433,18.58005,51.0,10.2,52,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
72110,2023-05-05 07:58:46,230629000,59.5521,18.60155,53.5,10.0,54,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,05-04 04:30,1
