Unnamed: 0,DATE TIME (UTC),MMSI,LATITUDE,LONGITUDE,COURSE,SPEED,HEADING,NAVSTAT,IMO,NAME,CALLSIGN,AISTYPE,A,B,C,D,DRAUGHT,DESTINATION,ETA,tripID
1051,2023-03-15 17:44:53,230629000,60.43375,22.21902,318.8,0.1,288,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,SESTO-FIMHQ-FITKU,03-15 17:50,1
1057,2023-03-15 17:49:54,230629000,60.43373,22.21902,121.6,0.0,288,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1062,2023-03-15 17:54:54,230629000,60.43373,22.21902,77.8,0.0,288,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1068,2023-03-15 17:59:57,230629000,60.43373,22.219,205.6,0.1,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1074,2023-03-15 18:05:03,230629000,60.43372,22.219,274.0,0.1,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1077,2023-03-15 18:09:52,230629000,60.43372,22.219,297.1,0.0,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1085,2023-03-15 18:15:04,230629000,60.43373,22.219,262.9,0.0,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1089,2023-03-15 18:20:03,230629000,60.43373,22.219,354.7,0.0,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1094,2023-03-15 18:25:04,230629000,60.43373,22.219,197.2,0.0,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1099,2023-03-15 18:30:03,230629000,60.43373,22.219,7.0,0.0,288,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1104,2023-03-15 18:35:04,230629000,60.43373,22.219,125.3,0.0,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1108,2023-03-15 18:40:04,230629000,60.43373,22.21902,189.2,0.0,288,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1114,2023-03-15 18:45:04,230629000,60.43373,22.21902,1.2,0.0,288,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1118,2023-03-15 18:50:08,230629000,60.43373,22.21902,302.8,0.1,289,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1125,2023-03-15 18:55:13,230629000,60.43373,22.21902,22.7,0.0,289,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1130,2023-03-15 19:00:13,230629000,60.43375,22.21902,98.7,0.0,289,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1134,2023-03-15 19:05:13,230629000,60.43375,22.21902,348.9,0.0,289,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1139,2023-03-15 19:10:12,230629000,60.4337,22.21847,253.0,1.5,287,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1144,2023-03-15 19:15:14,230629000,60.43307,22.20727,244.4,6.6,246,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1150,2023-03-15 19:20:14,230629000,60.42643,22.18872,236.0,8.8,237,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1154,2023-03-15 19:25:13,230629000,60.42175,22.16762,272.2,8.3,274,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1160,2023-03-15 19:30:18,230629000,60.42003,22.1439,245.5,8.4,248,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1164,2023-03-15 19:35:16,230629000,60.41183,22.1273,209.6,8.7,211,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1170,2023-03-15 19:40:19,230629000,60.39903,22.1172,200.8,12.2,202,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1174,2023-03-15 19:45:13,230629000,60.3817,22.1042,200.4,14.0,201,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1180,2023-03-15 19:50:19,230629000,60.3607,22.08685,203.4,17.6,204,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1185,2023-03-15 19:55:20,230629000,60.33807,22.06733,203.1,18.8,203,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1190,2023-03-15 20:00:20,230629000,60.3119,22.04382,207.2,21.1,207,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1195,2023-03-15 20:05:19,230629000,60.28698,22.01298,224.2,21.1,224,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1200,2023-03-15 20:10:25,230629000,60.27252,21.96092,250.7,21.5,250,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1204,2023-03-15 20:15:20,230629000,60.26373,21.90538,252.2,21.2,252,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1210,2023-03-15 20:20:25,230629000,60.25445,21.84833,252.0,21.1,252,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1214,2023-03-15 20:25:21,230629000,60.24165,21.79948,225.9,20.5,226,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1220,2023-03-15 20:30:25,230629000,60.22357,21.7531,253.8,20.5,255,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1225,2023-03-15 20:35:25,230629000,60.21888,21.69662,257.2,20.8,258,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1228,2023-03-15 20:40:25,230629000,60.21497,21.63917,263.3,20.8,263,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1233,2023-03-15 20:45:25,230629000,60.21017,21.58497,249.6,17.8,250,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1238,2023-03-15 20:50:25,230629000,60.20185,21.53887,250.3,17.5,251,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1243,2023-03-15 20:55:19,230629000,60.19083,21.49725,229.7,16.5,231,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1248,2023-03-15 21:00:26,230629000,60.17982,21.46027,254.7,15.6,256,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1255,2023-03-15 21:05:31,230629000,60.1671,21.41597,231.7,20.1,233,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1260,2023-03-15 21:10:31,230629000,60.14877,21.37002,231.3,20.9,232,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1263,2023-03-15 21:15:31,230629000,60.13063,21.32468,231.1,20.8,232,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1269,2023-03-15 21:20:31,230629000,60.1148,21.27585,239.8,21.1,241,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1273,2023-03-15 21:25:31,230629000,60.10302,21.22248,250.0,21.3,251,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1279,2023-03-15 21:30:33,230629000,60.09315,21.16817,250.2,21.3,251,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1281,2023-03-15 21:35:33,230629000,60.08623,21.11082,260.0,21.4,261,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1290,2023-03-15 21:40:38,230629000,60.08085,21.04985,260.4,21.3,261,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1293,2023-03-15 21:45:38,230629000,60.07928,20.99253,275.0,21.3,276,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1296,2023-03-15 21:50:31,230629000,60.08193,20.9352,271.1,21.3,271,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1301,2023-03-15 21:55:26,230629000,60.07907,20.8824,269.3,18.5,271,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1308,2023-03-15 22:00:38,230629000,60.08105,20.82862,288.4,20.2,290,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1311,2023-03-15 22:05:18,230629000,60.09015,20.77837,289.9,20.4,290,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1319,2023-03-15 22:10:42,230629000,60.09573,20.71952,279.8,18.7,280,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1321,2023-03-15 22:15:25,230629000,60.09703,20.67507,281.7,17.9,283,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1330,2023-03-15 22:20:43,230629000,60.11355,20.62725,307.9,20.6,308,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1332,2023-03-15 22:25:37,230629000,60.1244,20.57812,261.0,19.7,260,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1338,2023-03-15 22:30:42,230629000,60.11603,20.53007,264.4,17.2,265,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1344,2023-03-15 22:35:43,230629000,60.11307,20.48027,242.4,19.3,242,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1349,2023-03-15 22:40:48,230629000,60.10158,20.43668,290.5,18.6,292,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1354,2023-03-15 22:45:44,230629000,60.1114,20.388,292.1,19.3,293,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1358,2023-03-15 22:50:43,230629000,60.11367,20.33998,263.7,14.4,264,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1365,2023-03-15 22:55:49,230629000,60.1126,20.31152,219.3,6.0,228,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1370,2023-03-15 23:00:50,230629000,60.11395,20.3075,318.8,5.7,133,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1375,2023-03-15 23:05:49,230629000,60.11587,20.30285,262.0,0.3,131,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1376,2023-03-15 23:10:43,230629000,60.11592,20.30267,230.3,0.0,132,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1384,2023-03-15 23:15:52,230629000,60.11592,20.3027,135.8,0.1,132,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1386,2023-03-15 23:20:42,230629000,60.10917,20.3128,156.4,13.9,158,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1392,2023-03-15 23:25:51,230629000,60.08397,20.31987,190.1,19.7,192,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1397,2023-03-15 23:30:53,230629000,60.05813,20.31018,172.9,16.5,173,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1402,2023-03-15 23:35:52,230629000,60.03763,20.3049,194.6,16.9,195,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1405,2023-03-15 23:40:47,230629000,60.01382,20.29642,214.5,18.4,216,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1413,2023-03-15 23:45:57,230629000,59.99262,20.25645,224.1,20.6,225,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1417,2023-03-15 23:50:57,230629000,59.97227,20.21727,224.7,19.9,226,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1423,2023-03-15 23:56:01,230629000,59.96438,20.17487,269.1,14.3,270,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1427,2023-03-16 00:00:57,230629000,59.9654,20.1331,274.4,18.6,275,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
1431,2023-03-16 00:05:57,230629000,59.96757,20.08018,275.0,19.3,276,0,9606900,VIKING GRACE,OJPQ,60,22,196,16,16,6.8,FITKU-FILAN-SESTO,03-16 05:30,1
