start,start_time,end,end_time
Stockholm,2023-03-15 05:22:59,Mariehamn,2023-03-15 12:08:58
Mariehamn,2023-03-15 12:13:57,Turku,2023-03-15 17:34:52
Turku,2023-03-15 17:44:53,Stockholm,2023-03-16 05:26:49
Stockholm,2023-03-16 05:31:56,Mariehamn,2023-03-16 12:18:04
Mariehamn,2023-03-16 12:33:04,Turku,2023-03-16 17:38:54
Turku,2023-03-16 19:14:09,Stockholm,2023-03-17 05:35:56
Stockholm,2023-03-17 05:46:01,Mariehamn,2023-03-17 12:13:55
Mariehamn,2023-03-17 12:23:06,Turku,2023-03-17 17:44:58
Turku,2023-03-17 18:30:05,Stockholm,2023-03-18 05:27:08
Stockholm,2023-03-18 05:47:09,Mariehamn,2023-03-18 12:12:09
Mariehamn,2023-03-18 12:18:16,Turku,2023-03-18 17:54:10
Turku,2023-03-18 19:04:25,Stockholm,2023-03-19 05:41:08
Stockholm,2023-03-19 05:56:09,Mariehamn,2023-03-19 12:22:04
Mariehamn,2023-03-19 12:27:07,Turku,2023-03-19 17:53:10
Turku,2023-03-19 19:03:21,Stockholm,2023-03-20 05:30:11
Stockholm,2023-03-20 06:40:21,Mariehamn,2023-03-20 12:20:08
Mariehamn,2023-03-20 12:26:27,Turku,2023-03-20 17:52:26
Turku,2023-03-20 18:07:37,Stockholm,2023-03-21 05:39:38
Stockholm,2023-03-21 05:44:38,Mariehamn,2023-03-21 12:20:37
Mariehamn,2023-03-21 12:35:55,Turku,2023-03-21 17:56:43
Turku,2023-03-21 18:56:57,Stockholm,2023-03-22 05:33:32
Stockholm,2023-03-22 05:38:32,Mariehamn,2023-03-22 12:14:12
Mariehamn,2023-03-22 12:29:33,Turku,2023-03-22 17:55:28
Turku,2023-03-22 18:15:27,Stockholm,2023-03-23 05:52:32
Stockholm,2023-03-23 06:02:33,Mariehamn,2023-03-23 12:28:32
Mariehamn,2023-03-23 12:33:55,Turku,2023-03-23 17:55:30
Turku,2023-03-23 18:15:30,Stockholm,2023-03-24 05:37:39
Stockholm,2023-03-24 06:12:39,Mariehamn,2023-03-24 12:18:31
Mariehamn,2023-03-24 12:33:53,Turku,2023-03-24 17:54:53
Turku,2023-03-24 17:59:53,Stockholm,2023-03-25 05:27:01
Stockholm,2023-03-25 05:42:00,Mariehamn,2023-03-25 12:18:06
Mariehamn,2023-03-25 12:38:00,Turku,2023-03-25 17:49:12
Turku,2023-03-25 18:54:22,Stockholm,2023-03-26 05:06:06
Stockholm,2023-03-26 05:16:07,Mariehamn,2023-03-26 11:27:11
Mariehamn,2023-03-26 11:32:11,Turku,2023-03-26 16:58:15
Turku,2023-03-26 17:23:15,Stockholm,2023-03-27 04:20:02
Stockholm,2023-03-27 04:35:12,Mariehamn,2023-03-27 11:15:45
Mariehamn,2023-03-27 11:21:13,Turku,2023-03-27 17:02:13
Turku,2023-03-27 17:37:13,Stockholm,2023-03-28 04:34:16
